Week,Away,Away Score,Home,Home Score
1,Ravens,20,Chiefs,27
1,Packers,29,Eagles,34
1,Steelers,18,Falcons,10
1,Cardinals,28,Bills,34
1,Titans,17,Bears,24
1,Patriots,16,Bengals,10
1,Texans,29,Colts,27
1,Jaguars,17,Dolphins,20
1,Panthers,10,Saints,47
1,Vikings,28,Giants,6
1,Raiders,10,Chargers,22
1,Broncos,20,Seahawks,26
1,Cowboys,33,Browns,17
1,Commanders,20,Buccaneers,37
1,Rams,20,Lions,26
1,Jets,19,49ers,32
2,Bills,31,Dolphins,10
2,Buccaneers,20,Lions,16
2,Saints,44,Cowboys,19
2,Colts,10,Packers,16
2,Jets,24,Titans,17
2,49ers,17,Vikings,23
2,Seahawks,23,Patriots,20
2,Giants,18,Commanders,21
2,Chargers,26,Panthers,3
2,Browns,18,Jaguars,13
2,Raiders,26,Ravens,23
2,Rams,10,Cardinals,41
2,Steelers,13,Broncos,6
2,Bengals,25,Chiefs,26
2,Bears,13,Texans,19
2,Falcons,22,Eagles,21
3,Patriots,3,Jets,24
3,Giants,21,Browns,15
3,Packers,30,Titans,14
3,Bears,16,Colts,21
3,Texans,7,Vikings,34
3,Eagles,15,Saints,12
3,Chargers,10,Steelers,20
3,Broncos,26,Buccaneers,7
3,Panthers,36,Raiders,22
3,Dolphins,3,Seahawks,24
3,Ravens,28,Cowboys,25
3,49ers,24,Rams,27
3,Lions,20,Cardinals,13
3,Chiefs,22,Falcons,17
3,Jaguars,10,Bills,47
3,Commanders,38,Bengals,33
4,Cowboys,20,Giants,15
4,Saints,24,Falcons,26
4,Rams,18,Bears,24
4,Vikings,31,Packers,29
4,Steelers,24,Colts,27
4,Broncos,10,Jets,9
4,Eagles,16,Buccaneers,33
4,Bengals,34,Panthers,24
4,Jaguars,20,Texans,24
4,Commanders,42,Cardinals,14
4,Patriots,13,49ers,30
4,Browns,16,Raiders,20
4,Chiefs,17,Chargers,10
4,Bills,10,Ravens,35
4,Titans,31,Dolphins,12
4,Seahawks,29,Lions,42
5,Buccaneers,30,Falcons,36
5,Jets,17,Vikings,23
5,Panthers,10,Bears,36
5,Ravens,41,Bengals,38
5,Dolphins,15,Patriots,10
5,Browns,13,Commanders,34
5,Colts,34,Jaguars,37
5,Bills,20,Texans,23
5,Raiders,18,Broncos,34
5,Cardinals,24,49ers,23
5,Packers,24,Rams,19
5,Giants,29,Seahawks,20
5,Cowboys,20,Steelers,17
5,Saints,13,Chiefs,26
6,49ers,36,Seahawks,24
6,Jaguars,16,Bears,35
6,Cardinals,13,Packers,34
6,Colts,20,Titans,17
6,Texans,41,Patriots,21
6,Buccaneers,51,Saints,27
6,Browns,16,Eagles,20
6,Commanders,23,Ravens,30
6,Chargers,23,Broncos,16
6,Steelers,32,Raiders,13
6,Lions,47,Cowboys,9
6,Falcons,38,Panthers,20
6,Bengals,17,Giants,7
6,Bills,23,Jets,20
7,Broncos,33,Saints,10
7,Patriots,16,Jaguars,32
7,Seahawks,34,Falcons,14
7,Titans,10,Bills,34
7,Bengals,21,Browns,14
7,Texans,22,Packers,24
7,Dolphins,10,Colts,16
7,Lions,31,Vikings,29
7,Eagles,28,Giants,3
7,Raiders,15,Rams,20
7,Panthers,7,Commanders,40
7,Chiefs,28,49ers,18
7,Jets,15,Steelers,37
7,Ravens,41,Buccaneers,31
7,Chargers,15,Cardinals,17
8,Vikings,20,Rams,30
8,Eagles,37,Bengals,17
8,Ravens,24,Browns,29
8,Titans,14,Lions,52
8,Cardinals,28,Dolphins,27
8,Jets,22,Patriots,25
8,Falcons,31,Buccaneers,26
8,Packers,30,Jaguars,27
8,Colts,20,Texans,23
8,Saints,8,Chargers,26
8,Bills,31,Seahawks,10
8,Panthers,14,Broncos,28
8,Chiefs,27,Raiders,20
8,Bears,15,Commanders,18
8,Cowboys,24,49ers,30
8,Giants,18,Steelers,26
9,Texans,13,Jets,21
9,Cowboys,21,Falcons,27
9,Dolphins,27,Bills,30
9,Raiders,24,Bengals,41
9,Chargers,27,Browns,10
9,Patriots,17,Titans,20
9,Commanders,27,Giants,22
9,Saints,22,Panthers,23
9,Broncos,10,Ravens,41
9,Jaguars,23,Eagles,28
9,Bears,9,Cardinals,29
9,Lions,24,Packers,14
9,Rams,26,Seahawks,20
9,Colts,13,Vikings,21
9,Buccaneers,24,Chiefs,30
10,Bengals,34,Ravens,35
10,Giants,17,Panthers,20
10,Patriots,19,Bears,3
10,Bills,30,Colts,20
10,Broncos,14,Chiefs,16
10,Falcons,17,Saints,20
10,49ers,23,Buccaneers,20
10,Steelers,28,Commanders,27
10,Vikings,12,Jaguars,7
10,Titans,17,Chargers,27
10,Eagles,34,Cowboys,6
10,Jets,6,Cardinals,31
10,Lions,26,Texans,23
10,Dolphins,23,Rams,15
11,Commanders,18,Eagles,26
11,Packers,20,Bears,19
11,Jaguars,6,Lions,52
11,Vikings,23,Titans,13
11,Raiders,19,Dolphins,34
11,Rams,28,Patriots,22
11,Browns,14,Saints,35
11,Colts,28,Jets,27
11,Ravens,16,Steelers,18
11,Falcons,6,Broncos,38
11,Seahawks,20,49ers,17
11,Chiefs,21,Bills,30
11,Bengals,27,Chargers,34
11,Texans,34,Cowboys,10
12,Steelers,19,Browns,24
12,Vikings,30,Bears,27
12,Lions,24,Colts,6
12,Patriots,15,Dolphins,34
12,Buccaneers,30,Giants,7
12,Cowboys,34,Commanders,26
12,Chiefs,30,Panthers,27
12,Titans,32,Texans,27
12,Broncos,29,Raiders,19
12,49ers,10,Packers,38
12,Cardinals,6,Seahawks,16
12,Eagles,37,Rams,20
12,Ravens,30,Chargers,23
13,Bears,20,Lions,23
13,Giants,20,Cowboys,27
13,Dolphins,17,Packers,30
13,Raiders,17,Chiefs,19
13,Chargers,17,Falcons,13
13,Steelers,44,Bengals,38
